SOC,B_Vol,B_Curr
78.99998438,388.764796,-14.24308122
78.99998436,388.7598801,-14.31985902
78.99998435,388.7549645,-14.39663208
78.99998434,388.7500492,-14.47340033
78.99998432,388.7451342,-14.5501637
78.99998431,388.7402194,-14.62692211
78.99998429,388.7353049,-14.70367546
78.99998428,388.7303907,-14.78042367
78.99998427,388.7254767,-14.85716664
78.99998425,388.7205631,-14.93390426
78.99998424,388.7156497,-15.01063642
78.99998422,388.7107366,-15.08736302
78.99998421,388.7058238,-15.16408394
78.99998419,388.7009113,-15.24079906
78.99998418,388.6959992,-15.31750827
78.99998416,388.6910873,-15.39421144
78.99998415,388.6861758,-15.47090845
78.99998413,388.6812647,-15.54759919
78.99998412,388.6763538,-15.62428353
78.9999841,388.6714433,-15.70096135
78.99998409,388.6665332,-15.77763252
78.99998407,388.6616235,-15.85429694
78.99998406,388.6567141,-15.93095448
78.99998404,388.6518051,-16.00760504
78.99998403,388.6468965,-16.0842485
78.99998401,388.6419883,-16.16088475
78.999984,388.6370804,-16.23751369
78.99998398,388.632173,-16.31413524
78.99998397,388.6272661,-16.39074928
78.99998395,388.6223595,-16.46735574
78.99998393,388.6174534,-16.54395269
78.99998392,388.6125477,-16.6205383
78.9999839,388.6076425,-16.69712291
78.99998389,388.6027377,-16.77369917
78.99998387,388.5978334,-16.85026702
78.99998385,388.5929296,-16.92682634
78.99998384,388.5880266,-17.0033769
78.99998382,388.5831236,-17.07991843
78.9999838,388.5782211,-17.15645056
78.99998379,388.5733191,-17.23297287
78.99998377,388.5684176,-17.30948485
78.99998375,388.5635166,-17.38598593
78.99998374,388.5586163,-17.46247548
78.99998372,388.5537164,-17.53895281
78.9999837,388.5488172,-17.61541718
78.99998369,388.5439186,-17.69186778
78.99998367,388.5390207,-17.76830378
78.99998365,388.5341235,-17.84472428
78.99998363,388.529227,-17.92112838
78.99998362,388.5243314,-17.99751511
78.9999836,388.5194366,-18.0738835
78.99998358,388.5145427,-18.15023254
78.99998357,388.5096498,-18.22656122
78.99998355,388.5047579,-18.30286851
78.99998353,388.499867,-18.37915338
78.99998351,388.4949774,-18.4554148
78.99998349,388.4900889,-18.53165173
78.99998348,388.4852017,-18.60786316
78.99998346,388.4803158,-18.6840481
78.99998344,388.4754314,-18.76020556
78.99998342,388.4705484,-18.83633458
78.9999834,388.465667,-18.91243424
78.99998339,388.4607871,-18.98849598
78.99998337,388.455909,-19.06452786
78.99998335,388.4510325,-19.14053567
78.99998333,388.4461579,-19.21651024
78.99998331,388.4412851,-19.29245081
78.99998329,388.4364147,-19.36835654
78.99998327,388.4315461,-19.44422654
78.99998326,388.4266791,-19.52005982
78.99998324,388.4218142,-19.59585532
78.99998322,388.4169515,-19.67161191
78.9999832,388.4120909,-19.74732839
78.99998318,388.4072326,-19.82300348
78.99998316,388.4023766,-19.89863585
78.99998314,388.397523,-19.97422411
78.99998312,388.3926719,-20.0497668
78.9999831,388.3878233,-20.12526244
78.99998308,388.3829773,-20.20070948
78.99998306,388.378134,-20.27610634
78.99998304,388.3732935,-20.35145141
78.99998302,388.3684559,-20.42674307
78.999983,388.3636213,-20.50197966
78.99998298,388.3587898,-20.5771595
78.99998296,388.3539614,-20.65228094
78.99998294,388.3491364,-20.72734231
78.99998292,388.3443147,-20.80234193
78.9999829,388.3394965,-20.87727816
78.99998288,388.3346819,-20.95214937
78.99998286,388.329871,-21.02695396
78.99998284,388.325064,-21.10169035
78.99998282,388.3202608,-21.17635702
78.9999828,388.3154617,-21.25095247
78.99998278,388.3106667,-21.32547527
78.99998276,388.305876,-21.39992403
78.99998274,388.3010896,-21.47429742
78.99998272,388.2963076,-21.5485942
78.9999827,388.2915301,-21.62281318
78.99998268,388.2867573,-21.69695323
78.99998266,388.2819892,-21.77101333
78.99998264,388.2772258,-21.84499252
78.99998261,388.2724674,-21.91888994
78.99998259,388.2677138,-21.99270479
78.99998257,388.2629653,-22.0664364
78.99998255,388.2582219,-22.14008415
78.99998253,388.2534837,-22.21364755
78.99998251,388.2487506,-22.28712619
78.99998249,388.2440228,-22.36051976
78.99998246,388.2393003,-22.43382802
78.99998244,388.2345831,-22.50705088
78.99998242,388.2298713,-22.58018829
78.9999824,388.2251648,-22.65324034
78.99998238,388.2204638,-22.72620718
78.99998235,388.2157683,-22.79908907
78.99998233,388.2110781,-22.87188636
78.99998231,388.2063934,-22.94459947
78.99998229,388.2017141,-23.01722894
78.99998227,388.1970403,-23.08977535
78.99998224,388.1923718,-23.16223939
78.99998222,388.1877088,-23.2346218
78.9999822,388.1830511,-23.30692341
78.99998217,388.1783987,-23.37914511
78.99998215,388.1737516,-23.45128783
78.99998213,388.1691097,-23.52335258
78.99998211,388.1644731,-23.59534042
78.99998208,388.1598415,-23.66725244
78.99998206,388.1552151,-23.73908977
78.99998204,388.1505937,-23.81085358
78.99998201,388.1459772,-23.88254507
78.99998199,388.1413657,-23.95416546
78.99998197,388.1367589,-24.02571597
78.99998194,388.1321569,-24.09719785
78.99998192,388.1275596,-24.16861233
78.9999819,388.1229669,-24.23996066
78.99998187,388.1183787,-24.31124406
78.99998185,388.1137949,-24.38246375
78.99998183,388.1092155,-24.45362091
78.9999818,388.1046404,-24.5247167
78.99998178,388.1000695,-24.59575226
78.99998176,388.0955028,-24.66672867
78.99998173,388.09094,-24.73764696
78.99998171,388.0863813,-24.80850814
78.99998168,388.0818264,-24.87931314
78.99998166,388.0772754,-24.95006283
78.99998163,388.0727281,-25.02075803
78.99998161,388.0681845,-25.09139948
78.99998159,388.0636446,-25.16198784
78.99998156,388.0591082,-25.23252371
78.99998154,388.0545753,-25.3030076
78.99998151,388.0500459,-25.37343995
78.99998149,388.0455198,-25.4438211
78.99998146,388.0409972,-25.5141513
78.99998144,388.0364779,-25.58443073
78.99998141,388.0319619,-25.65465947
78.99998139,388.0274491,-25.7248375
78.99998136,388.0229396,-25.79496473
78.99998134,388.0184334,-25.86504095
78.99998131,388.0139303,-25.93506588
78.99998129,388.0094305,-26.00503914
78.99998126,388.0049339,-26.07496027
78.99998124,388.0004405,-26.14482871
78.99998121,387.9959504,-26.21464382
78.99998119,387.9914635,-26.28440488
78.99998116,387.9869799,-26.35411107
78.99998113,387.9824996,-26.42376151
78.99998111,387.9780226,-26.49335525
78.99998108,387.973549,-26.56289124
78.99998106,387.9690789,-26.63236839
78.99998103,387.9646122,-26.70178554
78.99998101,387.9601491,-26.77114146
78.99998098,387.9556896,-26.84043488
78.99998095,387.9512337,-26.90966446
78.99998093,387.9467816,-26.97882886
78.9999809,387.9423333,-27.04792664
78.99998087,387.9378889,-27.11695638
